ProductionID,SourceType,Location,Date,EnergyProduced_kWh,WindSpeed_mph,SolarRadiation_W/m2
P0018,Hydro,Lake Jessicachester,2022-05-28,11685,7.5,252
P0018,Hydro,Lake Jessicachester,2022-05-29,9984,3.0,507
P0018,Hydro,Lake Jessicachester,2022-05-30,14462,10.1,389
P0018,Hydro,Lake Jessicachester,2022-05-31,21528,14.3,280
P0018,Hydro,Lake Jessicachester,2022-06-01,10572,7.1,789
P0018,Hydro,Lake Jessicachester,2022-06-02,16052,2.4,606
P0018,Hydro,Lake Jessicachester,2022-06-03,18555,6.6,362
P0018,Hydro,Lake Jessicachester,2022-06-04,16361,7.3,325
P0018,Hydro,Lake Jessicachester,2022-06-05,9780,9.4,158
P0018,Hydro,Lake Jessicachester,2022-06-06,13515,14.6,104
P0018,Hydro,Lake Jessicachester,2022-06-07,5822,12.3,284
P0018,Hydro,Lake Jessicachester,2022-06-08,23868,0.6,668
P0018,Hydro,Lake Jessicachester,2022-06-09,20704,13.7,239
P0018,Hydro,Lake Jessicachester,2022-06-10,10702,11.0,661
P0018,Hydro,Lake Jessicachester,2022-06-11,23670,11.3,693
P0018,Hydro,Lake Jessicachester,2022-06-12,17167,9.8,410
P0018,Hydro,Lake Jessicachester,2022-06-13,15880,8.0,161
P0018,Hydro,Lake Jessicachester,2022-06-14,8667,8.2,103
P0018,Hydro,Lake Jessicachester,2022-06-15,18424,4.6,198
P0018,Hydro,Lake Jessicachester,2022-06-16,24909,12.5,645
P0018,Hydro,Lake Jessicachester,2022-06-17,12512,8.3,286
P0018,Hydro,Lake Jessicachester,2022-06-18,14843,2.8,667
P0018,Hydro,Lake Jessicachester,2022-06-19,15223,8.5,124
P0018,Hydro,Lake Jessicachester,2022-06-20,23167,2.9,201
P0018,Hydro,Lake Jessicachester,2022-06-21,11907,12.8,613
P0018,Hydro,Lake Jessicachester,2022-06-22,6666,9.0,260
P0018,Hydro,Lake Jessicachester,2022-06-23,5088,6.9,599
P0018,Hydro,Lake Jessicachester,2022-06-24,22936,8.9,318
P0018,Hydro,Lake Jessicachester,2022-06-25,14383,5.1,284
P0018,Hydro,Lake Jessicachester,2022-06-26,10295,5.7,297
P0018,Hydro,Lake Jessicachester,2022-06-27,19740,5.7,754
P0018,Hydro,Lake Jessicachester,2022-06-28,18346,2.5,282
P0018,Hydro,Lake Jessicachester,2022-06-29,8052,10.2,573
P0018,Hydro,Lake Jessicachester,2022-06-30,12446,2.8,747
P0018,Hydro,Lake Jessicachester,2022-07-01,16155,6.7,387
P0018,Hydro,Lake Jessicachester,2022-07-02,23595,3.7,374
P0018,Hydro,Lake Jessicachester,2022-07-03,23466,5.9,265
P0018,Hydro,Lake Jessicachester,2022-07-04,5003,11.5,467
P0018,Hydro,Lake Jessicachester,2022-07-05,12081,6.0,598
P0018,Hydro,Lake Jessicachester,2022-07-06,22362,12.0,679
P0018,Hydro,Lake Jessicachester,2022-07-07,19796,3.8,516
P0018,Hydro,Lake Jessicachester,2022-07-08,23449,12.1,217
P0018,Hydro,Lake Jessicachester,2022-07-09,6148,11.8,423
P0018,Hydro,Lake Jessicachester,2022-07-10,19655,1.9,633
P0018,Hydro,Lake Jessicachester,2022-07-11,24250,7.4,204
P0018,Hydro,Lake Jessicachester,2022-07-12,20252,14.3,136
P0018,Hydro,Lake Jessicachester,2022-07-13,20828,10.5,443
P0018,Hydro,Lake Jessicachester,2022-07-14,7143,13.4,548
P0018,Hydro,Lake Jessicachester,2022-07-15,13617,6.6,319
P0018,Hydro,Lake Jessicachester,2022-07-16,5571,11.5,763
P0018,Hydro,Lake Jessicachester,2022-07-17,10809,0.0,358
P0018,Hydro,Lake Jessicachester,2022-07-18,7668,14.7,338
P0018,Hydro,Lake Jessicachester,2022-07-19,9953,12.4,400
P0018,Hydro,Lake Jessicachester,2022-07-20,12458,2.3,775
P0018,Hydro,Lake Jessicachester,2022-07-21,22680,13.3,124
P0018,Hydro,Lake Jessicachester,2022-07-22,13010,7.1,191
P0018,Hydro,Lake Jessicachester,2022-07-23,21584,5.3,569
P0018,Hydro,Lake Jessicachester,2022-07-24,5056,7.2,123
P0018,Hydro,Lake Jessicachester,2022-07-25,19914,11.9,202
P0018,Hydro,Lake Jessicachester,2022-07-26,10907,1.2,552
P0018,Hydro,Lake Jessicachester,2022-07-27,18643,1.1,702
P0018,Hydro,Lake Jessicachester,2022-07-28,6661,4.8,482
P0018,Hydro,Lake Jessicachester,2022-07-29,12114,6.1,682
P0018,Hydro,Lake Jessicachester,2022-07-30,14504,3.0,676
P0018,Hydro,Lake Jessicachester,2022-07-31,18164,10.4,632
P0018,Hydro,Lake Jessicachester,2022-08-01,6103,13.2,606
P0018,Hydro,Lake Jessicachester,2022-08-02,21989,13.1,559
P0018,Hydro,Lake Jessicachester,2022-08-03,16206,6.6,289
P0018,Hydro,Lake Jessicachester,2022-08-04,9050,11.6,550
P0018,Hydro,Lake Jessicachester,2022-08-05,10732,9.1,309
P0018,Hydro,Lake Jessicachester,2022-08-06,19240,6.6,694
P0018,Hydro,Lake Jessicachester,2022-08-07,8149,12.1,167
P0018,Hydro,Lake Jessicachester,2022-08-08,15031,1.2,277
P0018,Hydro,Lake Jessicachester,2022-08-09,21417,7.2,572
P0018,Hydro,Lake Jessicachester,2022-08-10,5639,9.0,536
P0018,Hydro,Lake Jessicachester,2022-08-11,19530,9.0,389
P0018,Hydro,Lake Jessicachester,2022-08-12,5011,10.8,350
P0018,Hydro,Lake Jessicachester,2022-08-13,24451,12.7,358
P0018,Hydro,Lake Jessicachester,2022-08-14,18457,1.7,415
P0018,Hydro,Lake Jessicachester,2022-08-15,16697,3.9,708
P0018,Hydro,Lake Jessicachester,2022-08-16,12494,6.5,225
P0018,Hydro,Lake Jessicachester,2022-08-17,24789,5.5,196
P0018,Hydro,Lake Jessicachester,2022-08-18,7043,11.4,247
P0018,Hydro,Lake Jessicachester,2022-08-19,22779,2.3,333
P0018,Hydro,Lake Jessicachester,2022-08-20,5598,13.5,547
P0018,Hydro,Lake Jessicachester,2022-08-21,12313,14.9,707
P0018,Hydro,Lake Jessicachester,2022-08-22,9193,2.5,584
P0018,Hydro,Lake Jessicachester,2022-08-23,6818,14.8,209
P0018,Hydro,Lake Jessicachester,2022-08-24,13808,8.6,497
P0018,Hydro,Lake Jessicachester,2022-08-25,12773,1.8,648
P0018,Hydro,Lake Jessicachester,2022-08-26,9358,3.6,752
P0018,Hydro,Lake Jessicachester,2022-08-27,13019,4.4,400
P0018,Hydro,Lake Jessicachester,2022-08-28,19291,2.5,377
P0018,Hydro,Lake Jessicachester,2022-08-29,5245,0.5,364
P0018,Hydro,Lake Jessicachester,2022-08-30,12494,11.4,635
P0018,Hydro,Lake Jessicachester,2022-08-31,24941,4.6,712
P0018,Hydro,Lake Jessicachester,2022-09-01,9205,9.0,540
P0018,Hydro,Lake Jessicachester,2022-09-02,6128,11.1,272
P0018,Hydro,Lake Jessicachester,2022-09-03,15651,14.1,115
P0018,Hydro,Lake Jessicachester,2022-09-04,9464,12.1,265
P0018,Hydro,Lake Jessicachester,2022-09-05,20011,4.2,256
P0018,Hydro,Lake Jessicachester,2022-09-06,19333,5.0,161
P0018,Hydro,Lake Jessicachester,2022-09-07,9261,1.8,159
P0018,Hydro,Lake Jessicachester,2022-09-08,17698,3.2,510
P0018,Hydro,Lake Jessicachester,2022-09-09,5534,3.6,304
P0018,Hydro,Lake Jessicachester,2022-09-10,19580,14.4,558
P0018,Hydro,Lake Jessicachester,2022-09-11,9003,14.5,369
P0018,Hydro,Lake Jessicachester,2022-09-12,22345,6.6,395
P0018,Hydro,Lake Jessicachester,2022-09-13,11122,6.0,255
P0018,Hydro,Lake Jessicachester,2022-09-14,11844,5.9,221
P0018,Hydro,Lake Jessicachester,2022-09-15,14213,5.4,142
P0018,Hydro,Lake Jessicachester,2022-09-16,12154,4.5,392
P0018,Hydro,Lake Jessicachester,2022-09-17,24661,7.2,110
P0018,Hydro,Lake Jessicachester,2022-09-18,17968,10.8,507
P0018,Hydro,Lake Jessicachester,2022-09-19,21616,14.3,581
P0018,Hydro,Lake Jessicachester,2022-09-20,22301,7.2,741
P0018,Hydro,Lake Jessicachester,2022-09-21,23041,13.2,529
P0018,Hydro,Lake Jessicachester,2022-09-22,23973,7.8,591
P0018,Hydro,Lake Jessicachester,2022-09-23,17546,10.8,784
P0018,Hydro,Lake Jessicachester,2022-09-24,24158,6.0,177
P0018,Hydro,Lake Jessicachester,2022-09-25,13538,7.1,108
P0018,Hydro,Lake Jessicachester,2022-09-26,14018,0.8,645
P0018,Hydro,Lake Jessicachester,2022-09-27,14912,5.1,717
P0018,Hydro,Lake Jessicachester,2022-09-28,7205,9.2,279
P0018,Hydro,Lake Jessicachester,2022-09-29,17909,14.3,199
P0018,Hydro,Lake Jessicachester,2022-09-30,11100,7.1,125
P0018,Hydro,Lake Jessicachester,2022-10-01,21176,1.1,253
P0018,Hydro,Lake Jessicachester,2022-10-02,17859,14.1,143
P0018,Hydro,Lake Jessicachester,2022-10-03,8120,4.1,491
P0018,Hydro,Lake Jessicachester,2022-10-04,6667,7.1,392
P0018,Hydro,Lake Jessicachester,2022-10-05,13652,13.9,657
P0018,Hydro,Lake Jessicachester,2022-10-06,7212,3.6,166
P0018,Hydro,Lake Jessicachester,2022-10-07,23012,11.0,442
P0018,Hydro,Lake Jessicachester,2022-10-08,12740,6.5,690
P0018,Hydro,Lake Jessicachester,2022-10-09,20019,8.0,674
P0018,Hydro,Lake Jessicachester,2022-10-10,20955,11.7,780
P0018,Hydro,Lake Jessicachester,2022-10-11,20396,3.7,282
P0018,Hydro,Lake Jessicachester,2022-10-12,6721,11.1,732
P0018,Hydro,Lake Jessicachester,2022-10-13,9313,6.8,466
P0018,Hydro,Lake Jessicachester,2022-10-14,15995,9.5,751
P0018,Hydro,Lake Jessicachester,2022-10-15,8210,5.5,410
P0018,Hydro,Lake Jessicachester,2022-10-16,22245,0.2,216
P0018,Hydro,Lake Jessicachester,2022-10-17,19504,2.3,523
P0018,Hydro,Lake Jessicachester,2022-10-18,11869,12.9,255
P0018,Hydro,Lake Jessicachester,2022-10-19,19721,10.2,106
P0018,Hydro,Lake Jessicachester,2022-10-20,22036,12.7,361
P0018,Hydro,Lake Jessicachester,2022-10-21,14530,1.9,155
P0018,Hydro,Lake Jessicachester,2022-10-22,7512,1.2,789
P0018,Hydro,Lake Jessicachester,2022-10-23,16153,3.0,724
P0018,Hydro,Lake Jessicachester,2022-10-24,24619,9.4,744
P0018,Hydro,Lake Jessicachester,2022-10-25,11760,4.7,345
P0018,Hydro,Lake Jessicachester,2022-10-26,7277,14.8,459
P0018,Hydro,Lake Jessicachester,2022-10-27,24639,9.4,377
P0018,Hydro,Lake Jessicachester,2022-10-28,17873,6.1,256
P0018,Hydro,Lake Jessicachester,2022-10-29,19549,4.7,358
P0018,Hydro,Lake Jessicachester,2022-10-30,6290,8.5,652
P0018,Hydro,Lake Jessicachester,2022-10-31,20823,14.8,764
P0018,Hydro,Lake Jessicachester,2022-11-01,15371,12.3,108
P0018,Hydro,Lake Jessicachester,2022-11-02,15479,1.5,646
P0018,Hydro,Lake Jessicachester,2022-11-03,9284,10.6,604
P0018,Hydro,Lake Jessicachester,2022-11-04,14882,10.0,672
P0018,Hydro,Lake Jessicachester,2022-11-05,7407,5.0,772
P0018,Hydro,Lake Jessicachester,2022-11-06,9663,12.7,485
P0018,Hydro,Lake Jessicachester,2022-11-07,11661,10.6,530
P0018,Hydro,Lake Jessicachester,2022-11-08,10520,1.5,496
P0018,Hydro,Lake Jessicachester,2022-11-09,9884,13.9,158
P0018,Hydro,Lake Jessicachester,2022-11-10,10474,2.4,261
P0018,Hydro,Lake Jessicachester,2022-11-11,11048,1.2,116
P0018,Hydro,Lake Jessicachester,2022-11-12,5914,12.8,349
P0018,Hydro,Lake Jessicachester,2022-11-13,10999,6.1,316
P0018,Hydro,Lake Jessicachester,2022-11-14,9793,7.0,386
P0018,Hydro,Lake Jessicachester,2022-11-15,14251,7.2,197
P0018,Hydro,Lake Jessicachester,2022-11-16,15973,11.9,778
P0018,Hydro,Lake Jessicachester,2022-11-17,13371,10.5,730
P0018,Hydro,Lake Jessicachester,2022-11-18,23454,2.2,408
P0018,Hydro,Lake Jessicachester,2022-11-19,15151,4.5,342
P0018,Hydro,Lake Jessicachester,2022-11-20,15741,3.5,608
P0018,Hydro,Lake Jessicachester,2022-11-21,13761,0.6,548
P0018,Hydro,Lake Jessicachester,2022-11-22,20602,10.2,270
P0018,Hydro,Lake Jessicachester,2022-11-23,23936,2.1,376
P0018,Hydro,Lake Jessicachester,2022-11-24,6674,6.1,268
P0018,Hydro,Lake Jessicachester,2022-11-25,12979,10.8,598
P0018,Hydro,Lake Jessicachester,2022-11-26,18591,8.8,423
P0018,Hydro,Lake Jessicachester,2022-11-27,17789,6.4,578
P0018,Hydro,Lake Jessicachester,2022-11-28,21981,9.3,679
P0018,Hydro,Lake Jessicachester,2022-11-29,5947,2.7,661
P0018,Hydro,Lake Jessicachester,2022-11-30,22764,8.0,365
P0018,Hydro,Lake Jessicachester,2022-12-01,24876,12.7,300
P0018,Hydro,Lake Jessicachester,2022-12-02,12575,9.9,459
P0018,Hydro,Lake Jessicachester,2022-12-03,23752,4.7,403
P0018,Hydro,Lake Jessicachester,2022-12-04,6849,0.2,281
P0018,Hydro,Lake Jessicachester,2022-12-05,6388,9.0,104
P0018,Hydro,Lake Jessicachester,2022-12-06,13040,14.8,349
P0018,Hydro,Lake Jessicachester,2022-12-07,15927,6.6,190
P0018,Hydro,Lake Jessicachester,2022-12-08,7890,10.7,762
P0018,Hydro,Lake Jessicachester,2022-12-09,9312,2.5,217
P0018,Hydro,Lake Jessicachester,2022-12-10,16765,4.4,334
P0018,Hydro,Lake Jessicachester,2022-12-11,9805,14.2,542
P0018,Hydro,Lake Jessicachester,2022-12-12,16453,1.8,456
P0018,Hydro,Lake Jessicachester,2022-12-13,19354,3.3,741
P0018,Hydro,Lake Jessicachester,2022-12-14,20470,5.4,764
P0018,Hydro,Lake Jessicachester,2022-12-15,6875,11.8,684
P0018,Hydro,Lake Jessicachester,2022-12-16,5189,1.5,629
P0018,Hydro,Lake Jessicachester,2022-12-17,15674,10.1,787
P0018,Hydro,Lake Jessicachester,2022-12-18,22755,8.4,728
P0018,Hydro,Lake Jessicachester,2022-12-19,13939,12.3,287
P0018,Hydro,Lake Jessicachester,2022-12-20,13678,6.0,594
P0018,Hydro,Lake Jessicachester,2022-12-21,19845,4.2,774
P0018,Hydro,Lake Jessicachester,2022-12-22,21799,9.1,233
P0018,Hydro,Lake Jessicachester,2022-12-23,7830,8.3,367
P0018,Hydro,Lake Jessicachester,2022-12-24,16146,11.1,521
P0018,Hydro,Lake Jessicachester,2022-12-25,15349,11.8,665
P0018,Hydro,Lake Jessicachester,2022-12-26,8235,9.3,500
P0018,Hydro,Lake Jessicachester,2022-12-27,22076,5.0,227
P0018,Hydro,Lake Jessicachester,2022-12-28,16202,12.8,315
P0018,Hydro,Lake Jessicachester,2022-12-29,8398,12.5,396
P0018,Hydro,Lake Jessicachester,2022-12-30,20457,2.8,357
P0018,Hydro,Lake Jessicachester,2022-12-31,16864,4.3,526
P0034,Hydro,Burnsville,2022-01-01,10886,0.6,397
P0034,Hydro,Burnsville,2022-01-02,20930,7.4,615
P0034,Hydro,Burnsville,2022-01-03,16940,5.6,705
P0034,Hydro,Burnsville,2022-01-04,11467,14.8,647
P0034,Hydro,Burnsville,2022-01-05,22329,11.9,319
P0034,Hydro,Burnsville,2022-01-06,19468,8.7,695
P0034,Hydro,Burnsville,2022-01-07,12375,11.6,486
P0034,Hydro,Burnsville,2022-01-08,16918,6.9,390
P0034,Hydro,Burnsville,2022-01-09,8595,4.2,105
P0034,Hydro,Burnsville,2022-01-10,24036,1.7,215
P0034,Hydro,Burnsville,2022-01-11,11058,3.0,362
P0034,Hydro,Burnsville,2022-01-12,15043,4.3,121
P0034,Hydro,Burnsville,2022-01-13,15711,7.6,140
P0034,Hydro,Burnsville,2022-01-14,23128,1.9,614
P0034,Hydro,Burnsville,2022-01-15,5498,10.3,452
P0034,Hydro,Burnsville,2022-01-16,21173,5.6,130
P0034,Hydro,Burnsville,2022-01-17,11316,0.1,364
P0034,Hydro,Burnsville,2022-01-18,23404,12.0,467
P0034,Hydro,Burnsville,2022-01-19,20993,6.8,565
P0034,Hydro,Burnsville,2022-01-20,11731,6.4,661
P0034,Hydro,Burnsville,2022-01-21,21974,13.3,233
P0034,Hydro,Burnsville,2022-01-22,9901,7.0,499
P0034,Hydro,Burnsville,2022-01-23,13258,10.9,296
P0034,Hydro,Burnsville,2022-01-24,19338,8.8,653
P0034,Hydro,Burnsville,2022-01-25,16818,1.3,220
P0034,Hydro,Burnsville,2022-01-26,5553,10.0,452
P0034,Hydro,Burnsville,2022-01-27,22007,13.1,792
P0034,Hydro,Burnsville,2022-01-28,16037,4.4,615
P0034,Hydro,Burnsville,2022-01-29,24825,7.2,760
P0034,Hydro,Burnsville,2022-01-30,22478,4.1,113
P0034,Hydro,Burnsville,2022-01-31,19820,14.2,530
P0034,Hydro,Burnsville,2022-02-01,8949,2.6,114
P0034,Hydro,Burnsville,2022-02-02,13600,5.1,724
P0034,Hydro,Burnsville,2022-02-03,18959,3.4,647
P0034,Hydro,Burnsville,2022-02-04,24245,8.4,119
P0034,Hydro,Burnsville,2022-02-05,8916,14.0,510
